dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
1;11;2021;0:10:00.000;7900.361328;7998.714844;8013.976074;13805.233;2582.181396;2308.888428;2648.605225;686.931641;589.760437;886.870850;339.628357;299.190247;350.078857;7539.675293;
1;11;2021;0:20:00.000;7885.977051;7989.183594;7997.595215;13782.013;2575.838135;2248.093994;2633.347900;692.246643;565.426453;888.535522;339.521088;291.330231;348.929016;7457.280273;
1;11;2021;0:30:00.000;7883.496582;7979.068848;7993.050293;13772.161;2521.494385;2249.749756;2605.616211;691.322815;577.793762;893.916687;332.940094;292.218353;345.981537;7376.860352;
1;11;2021;0:40:00.000;7897.183594;7995.313477;8006.700684;13797.375000;2516.334717;2220.451660;2565.152832;684.361938;586.758301;884.672180;331.412048;288.295502;340.113586;7301.939453;
1;11;2021;0:50:00.000;7918.366699;8023.308105;8027.929199;13838.062500;2485.523193;2184.728760;2559.359619;696.482178;576.561218;879.719116;327.126953;282.624969;338.292603;7229.611328;
1;11;2021;1:00:00.000;7896.253418;7995.586914;8008.544434;13798.126;2513.457275;2174.974365;2509.927002;707.238953;569.400696;883.235840;331.730103;282.141937;333.380096;7198.358887;
1;11;2021;1:10:00.000;7909.302734;8009.444824;8016.666016;13818.379;2441.571045;2140.836426;2509.552246;694.509949;580.690735;886.311584;322.003845;277.872437;333.033905;7091.959961;
1;11;2021;1:20:00.000;7919.661621;8025.761230;8028.651855;13840.723;2428.942139;2120.344482;2498.176270;695.026917;576.905029;890.059570;320.007690;274.663788;331.336792;7047.462402;
1;11;2021;1:30:00.000;7918.693848;8021.865234;8029.861328;13838.642;2412.762451;2119.116211;2474.444092;697.588989;591.940796;896.580261;318.139709;275.097839;328.717590;7006.322266;
1;11;2021;1:40:00.000;7933.759277;8036.752930;8040.322266;13862.009;2383.516846;2095.686035;2435.854248;700.508667;587.894897;891.374084;314.066833;271.617157;323.521057;6915.056641;
1;11;2021;1:50:00.000;7931.266602;8036.625488;8042.062012;13861.515;2374.956055;2074.763672;2400.611084;697.029358;586.870667;871.772949;312.972260;269.087677;318.491608;6850.331055;
1;11;2021;2:00:00.000;7937.327148;8040.939453;8049.864258;13872.023;2348.313721;2062.871338;2417.530762;712.027466;593.972595;893.944458;310.039093;267.713409;321.034912;6828.715820;
1;11;2021;2:10:00.000;7955.283691;8057.999512;8063.168457;13899.945;2347.989014;2060.614014;2401.295166;713.176025;593.074158;890.720337;309.321167;266.799438;318.471954;6809.898438;
1;11;2021;2:20:00.000;7964.823730;8067.865234;8074.597168;13917.763;2337.338623;2046.596436;2374.407715;707.025452;602.442871;896.632507;307.416595;265.093781;315.126251;6758.342773;
