dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
1;12;2021;0:00:00.000;7908.004395;8008.869629;7980.379883;13796.190430;2558.059814;2274.572754;2592.361816;776.292053;666.324036;947.597900;339.509766;297.181580;347.412354;7424.994629;
1;12;2021;0:10:00.000;7910.994141;8010.449707;7978.201660;13797.635;2524.563965;2238.806885;2562.991943;783.194031;669.272095;944.824097;335.448364;292.888031;343.827454;7326.362793;
1;12;2021;0:20:00.000;7918.716797;8018.751465;7989.327148;13813.339;2499.313721;2173.037598;2527.019775;759.954041;655.541992;934.167847;331.117126;284.150635;338.598358;7199.371582;
1;12;2021;0:30:00.000;7921.735840;8016.143555;7985.279785;13811.311;2447.138184;2172.402832;2494.483398;760.817505;652.035400;951.860718;324.684143;283.966492;335.593079;7114.024414;
1;12;2021;0:40:00.000;7866.767090;7951.520020;7923.433594;13706.592;2411.322998;2080.267334;2429.536865;754.277710;624.495605;899.003906;322.319885;274.139862;328.154205;6921.127441;
1;12;2021;0:50:00.000;7873.596680;7956.949219;7923.081543;13713.512;2362.016602;2080.137451;2410.528076;739.823608;629.984436;917.074829;315.482056;274.068512;326.612488;6852.682129;
1;12;2021;1:00:00.000;7872.925293;7958.208496;7928.851563;13717.210;2350.629150;2052.798828;2373.792236;751.457947;630.965698;898.771240;314.510315;270.712372;321.187531;6777.220215;
1;12;2021;1:10:00.000;7881.058594;7967.842773;7939.635254;13733.731;2313.932861;2032.114258;2327.053711;748.225769;627.204834;890.033569;309.557098;267.717194;314.806000;6673.101074;
1;12;2021;1:20:00.000;7882.187988;7969.622559;7937.547852;13734.229;2308.343994;2003.196289;2331.299805;758.295776;631.976318;891.328491;309.172577;264.354462;315.390411;6642.840332;
1;12;2021;1:30:00.000;7883.251465;7969.202637;7935.319336;13733.338;2274.986328;1994.533325;2316.086914;741.726685;613.281433;894.723938;304.404663;262.604065;313.772461;6585.606445;
1;12;2021;1:40:00.000;7890.334473;7972.961426;7938.239258;13741.305;2233.604492;1983.952026;2270.846436;731.419983;620.415283;910.282043;298.736603;261.448639;309.061462;6488.403320;
1;12;2021;1:50:00.000;7892.363770;7978.342773;7943.721191;13748.759;2232.384521;1971.699097;2257.261963;738.708801;623.240417;907.818848;298.767731;259.896912;307.135040;6461.345215;
1;12;2021;2:00:00.000;7897.044434;7985.150879;7950.007813;13759.039;2224.533691;1955.033813;2237.614502;752.827515;639.267212;911.802612;298.178070;258.277496;304.749237;6417.182129;
1;12;2021;2:10:00.000;7900.602051;7988.394531;7953.273438;13764.854;2210.926514;1928.995361;2230.792236;741.199585;626.320862;904.633728;295.911316;254.546844;303.480164;6370.713867;
1;12;2021;2:20:00.000;7900.310547;7989.396484;7955.562500;13766.596;2195.800293;1896.000244;2196.664551;747.167297;614.438721;899.708008;294.348846;250.119751;299.168030;6288.464844;
