dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;08;2021;00:10:00.000;7908.179199;7987.076660;8017.414551;13805.499;2097.128906;1903.361816;2242.499512;907.927490;840.827393;1166.849487;289.554657;260.979706;315.882813;6242.990234;
01;08;2021;00:20:00.000;7904.989258;7987.512207;8016.999023;13803.671;2145.485840;1918.687378;2266.952393;926.275818;855.490662;1174.722778;296.189850;263.455231;319.036530;6331.125977;
01;08;2021;00:30:00.000;7904.110352;7989.109375;8011.070801;13800.673;2086.427734;1900.609741;2261.026123;929.375122;835.385376;1178.707275;289.563568;260.341583;318.851593;6248.063965;
01;08;2021;00:40:00.000;7907.954102;7989.485840;8019.154297;13807.774;2108.708008;1914.246460;2271.782227;937.101501;845.308044;1176.126465;292.368408;262.368927;319.575684;6294.736816;
01;08;2021;00:50:00.000;7912.814941;7994.954102;8021.424805;13815.048;2105.086670;1903.387573;2233.216553;917.653687;846.954102;1176.775879;290.795929;261.046814;315.267120;6241.690918;
01;08;2021;01:00:00.000;7923.505859;8004.889648;8033.383301;13833.864;2079.763428;1909.697144;2231.469482;909.478027;847.405396;1153.050049;287.096313;261.481354;313.254669;6220.930176;
01;08;2021;01:10:00.000;7947.389648;8029.323242;8057.010254;13875.403320;2058.405518;1886.541992;2227.713379;923.915771;851.755920;1147.185669;284.525269;258.299225;311.613556;6172.660645;
01;08;2021;01:20:00.000;8012.870117;8084.232422;8114.928223;13978.363;1991.682739;1842.937988;2123.374023;897.499756;821.823242;1143.745850;273.319580;250.129730;297.864044;5957.994629;
01;08;2021;01:30:00.000;8101.863770;8168.865723;8189.209961;14121.483;1852.793213;1713.095947;2007.067261;844.840210;795.751160;1093.886841;252.150024;231.847519;279.896606;5572.956543;
01;08;2021;01:40:00.000;8143.283203;8213.536133;8223.310547;14190.872070;1846.350220;1702.325562;1975.013184;864.499512;806.177551;1126.301514;251.209808;230.005478;277.272858;5523.688965;
