Date;Time;Vlna;Vlnb;Vlnc;Vllavg;;kWa;;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;07;2018;04:50:00.000;8073.345215;8109.408691;8195.390625;14073.784180;2300.540771;1960.782104;2268.780762;615.771729;432.019073;607.506653;296.713715;248.818939;288.312378;6530.103516
01;07;2018;05:00:00.000;8052.073730;8108.937988;8179.668457;14052.149414;2330.368652;1945.720337;2292.424316;648.584900;425.681671;603.712280;302.124908;246.926941;291.584259;6568.513184
01;07;2018;05:10:00.000;8024.285645;8065.502930;8156.519043;13997.611328;2390.112305;1909.819458;2320.553955;637.395203;409.580170;620.307800;309.910309;243.487305;296.235077;6620.485840
01;07;2018;05:20:00.000;7985.014160;8017.129395;8118.448242;13925.063477;2372.775879;1940.768799;2347.529053;616.130615;389.720215;604.354004;308.638062;248.201157;300.268341;6661.073730
01;07;2018;05:30:00.000;7990.238281;8030.176758;8125.408203;13939.563477;2421.345703;1919.868896;2376.396484;620.118347;390.657135;604.204590;314.484680;245.311920;303.496246;6717.610840
01;07;2018;05:40:00.000;7990.259277;8031.486816;8125.531738;13940.426758;2428.567627;1961.608398;2383.815430;633.935364;384.828308;609.893188;315.797974;250.193390;304.490082;6773.991211
01;07;2018;05:50:00.000;7978.068848;8015.229004;8110.479004;13915.322266;2401.769775;1989.052246;2378.787598;639.735046;415.737579;635.598511;313.218689;254.797729;305.313538;6769.609375
01;07;2018;06:00:00.000;7970.451172;8013.036133;8106.275391;13907.219727;2463.260742;2021.250366;2446.980957;659.205505;415.290741;641.365234;321.549927;258.787445;313.753296;6931.492188
01;07;2018;06:10:00.000;7969.398438;8009.849121;8106.304199;13904.780273;2448.247314;2022.253052;2484.150391;640.485291;417.432709;633.441772;319.191864;259.095306;317.881409;6954.650879
01;07;2018;06:20:00.000;7949.146973;7989.953613;8092.503418;13873.633789;2471.781250;2019.131470;2441.959229;651.099243;409.329254;605.468384;323.182800;259.141205;312.572968;6932.872070
01;07;2018;06:30:00.000;7938.264160;7974.684570;8079.803223;13851.219727;2493.317627;2054.467285;2467.890869;668.751892;418.375977;604.216187;326.768372;264.188324;316.144348;7015.676270
01;07;2018;06:40:00.000;7943.508301;7983.277832;8078.733887;13858.583984;2492.836914;2049.473877;2485.864746;660.713135;408.380951;624.584106;326.247803;263.051178;318.947601;7028.175781
01;07;2018;06:50:00.000;7933.994629;7980.764160;8073.857422;13848.809570;2468.085449;2044.128906;2531.698242;645.507568;422.862061;638.451416;323.138153;262.821503;325.057556;7043.912598
