dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;10;2019;00:00:00.000;7999.106934;8068.470215;8112.847656;13960.282;2263.841309;2056.607178;1840.861938;783.954590;689.248535;626.928650;300.186188;269.354797;240.351303;6161.310547
01;10;2019;00:10:00.000;8004.400879;8079.530273;8114.085938;13970.418;2298.824463;2066.399414;1886.568970;766.833374;682.859314;640.047363;303.455231;269.916473;246.169189;6251.792969
01;10;2019;00:20:00.000;7999.496582;8077.323730;8109.471191;13963.639;2304.310547;2087.632813;1889.773193;761.622498;687.604309;645.340454;304.122223;272.685028;246.917145;6281.716309
01;10;2019;00:30:00.000;7992.834961;8070.879395;8108.136230;13955.265;2359.526123;2089.055176;1885.941895;791.173767;671.984680;631.497131;312.120575;272.525085;246.030746;6334.522949
01;10;2019;00:40:00.000;7997.074707;8075.300781;8104.054199;13957.895;2357.757324;2124.822021;1913.548462;767.441833;683.302246;640.740906;310.915894;277.066406;249.790329;6396.127441
01;10;2019;00:50:00.000;7951.290527;8021.481445;8052.755859;13870.727;2411.545654;2140.981934;1942.733765;743.801941;635.087463;612.218689;318.289032;279.135223;253.756226;6495.261719
01;10;2019;01:00:00.000;7953.748535;8020.267578;8052.584961;13871.283;2453.891846;2230.584717;1957.354126;723.403259;655.516418;594.314148;322.702118;290.714386;254.970795;6641.830566
01;10;2019;01:10:00.000;7980.947754;8045.425781;8073.862305;13913.670;2497.686035;2290.200928;2011.302124;737.499756;661.159973;604.328430;327.570618;297.309631;261.226227;6799.188965
01;10;2019;01:20:00.000;8008.081055;8074.297363;8099.618652;13960.738;2446.344971;2192.944336;1956.698242;675.603638;589.972290;522.723083;318.397064;282.483704;251.395279;6595.987793
01;10;2019;01:30:00.000;8021.976074;8074.248047;8116.129395;13978.207;2426.336426;2196.441895;1940.927979;654.532288;610.508728;501.028503;314.850067;283.655548;248.427979;6563.706543
01;10;2019;01:40:00.000;8019.157227;8077.214355;8111.942383;13975.870;2396.597900;2200.393066;1966.884399;659.257507;614.163696;503.458649;311.555725;284.192810;251.737350;6563.875488
01;10;2019;01:50:00.000;8018.798828;8084.939941;8114.461914;13981.592;2407.309570;2251.288574;1952.388550;677.606384;627.653381;511.745758;313.464905;290.424377;250.244720;6610.986816
01;10;2019;02:00:00.000;8008.714355;8067.475586;8097.705566;13955.979;2402.452881;2206.871826;1950.222778;672.605835;604.544617;539.650024;313.153137;285.024994;251.397079;6559.547363
01;10;2019;02:10:00.000;8008.242188;8066.691406;8095.201660;13953.821;2435.637207;2230.084473;1990.918457;680.032532;618.381470;550.997498;317.374176;288.240509;256.642822;6656.640137
01;10;2019;02:20:00.000;8007.301758;8062.493164;8099.266602;13953.199;2505.572754;2335.297363;2076.886475;698.911682;646.060974;559.432739;326.481842;301.843475;266.996613;6917.756836
01;10;2019;02:30:00.000;7997.028809;8051.680664;8084.815430;13932.642;2614.541016;2368.679199;2164.000488;696.723694;640.254639;556.131714;339.929260;306.083679;277.791626;7147.220703
01;10;2019;02:40:00.000;7996.233398;8048.125488;8082.925781;13929.054;2645.829346;2462.805176;2193.861328;710.168701;682.037720;589.947754;344.156891;318.835541;282.433624;7302.495605
01;10;2019;02:50:00.000;7997.034668;8053.552246;8084.137695;13933.349;2721.035156;2432.838867;2213.987793;722.481934;676.435425;610.723938;353.557343;314.818970;285.396210;7367.861816
01;10;2019;03:00:00.000;7972.819824;8023.945313;8058.250488;13887.320;2811.256348;2570.448486;2299.166260;758.285156;709.494568;629.481750;366.694824;333.574432;297.109558;7680.871094
01;10;2019;03:10:00.000;7978.726563;8034.282227;8066.301758;13901.339;2883.761719;2675.629639;2400.374023;760.495361;709.479004;633.643494;375.264435;345.761383;309.054230;7959.765137
