dia;mes;ano;Time;Vlna;Vlnb;Vlnc;Vllavg;kWa;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
1;9;2021;0:10:00.000;7843.310547;7919.590820;7954.412109;13692.752930;2119.407227;1921.766846;2213.019531;886.101318;815.426636;1133.550415;293.394379;263.985657;313.099304;6254.193848;
1;9;2021;0:20:00.000;7853.713379;7933.642090;7965.923828;13713.502;2139.307129;1898.503784;2235.549561;906.974487;821.780396;1134.428467;296.383179;261.147705;315.221710;6273.360352;
1;9;2021;0:30:00.000;7855.590332;7929.932617;7966.341309;13712.668;2126.825439;1898.181763;2249.937744;887.974792;816.556274;1128.736328;293.941223;260.984070;316.509216;6274.944824;
1;9;2021;0:40:00.000;7841.999023;7912.709961;7945.533203;13682.862;2123.685547;1909.340454;2259.616211;863.996033;810.379700;1111.199829;292.934692;262.550323;317.462494;6292.642090;
1;9;2021;0:50:00.000;7838.947266;7914.291992;7947.961914;13683.410;2120.539551;1925.912842;2265.106934;877.310974;820.599976;1121.594849;293.331451;264.926025;318.601135;6311.559570;
1;9;2021;1:00:00.000;7852.533691;7931.859863;7959.856445;13708.247070;2136.212891;1935.116211;2281.520996;883.799561;815.661621;1133.224976;295.016327;265.197815;320.651642;6352.850098;
1;9;2021;1:10:00.000;7870.109375;7948.389648;7974.659668;13736.465;2081.606689;1874.854126;2217.610840;838.260559;779.642273;1085.613892;285.857697;255.987534;310.301483;6174.071289;
1;9;2021;1:20:00.000;7915.724609;7985.442383;8007.846191;13803.370;2032.648804;1877.496826;2176.753418;806.616638;772.922974;1070.511230;277.033203;254.864075;303.688965;6086.899414;
1;9;2021;1:30:00.000;7976.264648;8041.633301;8065.097168;13903.793;1973.763062;1802.434814;2117.854004;782.292236;736.579712;1026.507568;267.058105;242.824860;292.706970;5894.052246;
1;9;2021;1:40:00.000;8003.435547;8067.241699;8086.651855;13946.682;1994.973633;1834.173706;2138.760010;788.565613;754.449646;1038.860107;269.015472;246.627533;294.980103;5967.907227;
1;9;2021;1:50:00.000;8025.760254;8088.852539;8107.688965;13984.173;2042.100464;1891.929443;2178.916016;799.232727;768.307678;1029.800659;274.252747;253.253174;298.318481;6112.945801;
1;9;2021;2:00:00.000;7843.713867;7895.750488;7919.037598;13658.626;2087.683838;1922.823853;2232.018799;717.226685;716.920898;961.900574;282.459656;260.778748;308.035980;6242.526367;
1;9;2021;2:10:00.000;7799.385254;7848.354492;7880.048340;13583.102;2118.680420;1963.142700;2286.090332;714.821411;705.215637;956.958679;287.838806;266.711945;315.713684;6367.913574;
1;9;2021;2:20:00.000;7736.653809;7779.006836;7815.609863;13469.593;2204.096436;2027.359131;2368.208008;696.822693;683.666809;961.868103;299.921844;276.023956;328.279785;6599.663574;
1;9;2021;2:30:00.000;7746.057129;7790.176270;7823.657227;13486.093750;2262.392822;2090.218506;2422.933105;710.896423;687.906067;973.617432;307.303802;283.475769;335.048065;6775.544434;
1;9;2021;2:40:00.000;7757.166504;7799.345215;7829.547852;13501.171;2273.435791;2129.206787;2474.900391;711.123169;691.906067;1001.316406;308.291504;288.090271;342.303772;6877.543457;
1;9;2021;2:50:00.000;7736.756836;7783.333008;7816.332031;13472.486;2361.234375;2199.050049;2545.310791;720.846985;709.484985;993.381409;320.351501;297.930298;350.864746;7105.595215;
1;9;2021;3:00:00.000;7718.526855;7768.327148;7799.453125;13443.512;2495.029297;2275.885742;2630.904297;741.455994;711.583923;990.934082;338.451904;308.061890;361.818481;7401.818848;
1;9;2021;3:10:00.000;7679.111816;7730.881836;7759.546387;13376.038;2646.615967;2402.361328;2742.432861;738.868958;709.418274;1022.967041;359.072327;325.130219;378.565857;7791.410156;
1;9;2021;3:20:00.000;7815.463379;7874.117676;7900.044922;13618.516;2744.666260;2477.782227;2877.299561;817.465820;798.326660;1118.897949;367.722809;331.747101;392.151764;8099.748047;
1;9;2021;3:30:00.000;7775.593750;7832.492188;7868.578613;13553.204;2882.302246;2519.133301;2933.639893;830.899963;794.932678;1103.479492;387.121704;338.408142;399.827667;8335.075195;
1;9;2021;3:40:00.000;7760.665039;7819.083008;7852.995605;13527.776;3016.925537;2590.043945;3011.792480;822.450745;779.589355;1121.604736;404.310333;347.129120;410.770874;8618.761719;
1;9;2021;3:50:00.000;7785.861328;7847.434082;7876.244629;13572.131;3100.540527;2617.626465;3073.847900;857.336975;819.180603;1152.812256;414.469971;350.652100;418.195374;8792.014648;
1;9;2021;4:00:00.000;7758.171387;7822.529297;7855.234375;13529.578;3191.536133;2654.798340;3050.884277;868.194763;798.297729;1135.299438;427.687622;355.568848;415.864868;8897.218750;
1;9;2021;4:10:00.000;7804.663574;7882.561035;7902.147949;13618.140;3275.236816;2778.202393;3191.996338;914.687378;830.944519;1197.226318;437.132355;369.092743;432.905121;9245.435547;
1;9;2021;4:20:00.000;7792.107422;7864.085938;7888.390137;13592.231;3320.415039;2805.812744;3202.193359;904.763367;859.925049;1196.449829;443.121063;374.443329;434.890381;9328.420898;
1;9;2021;4:30:00.000;7795.301270;7865.957031;7888.324707;13595.062;3347.460449;2845.272949;3284.894287;890.487549;855.193359;1219.024536;445.903412;378.998749;445.751831;9477.627930;
1;9;2021;4:40:00.000;7777.741699;7842.849609;7869.338867;13560.637;3386.144287;2899.328613;3321.667236;892.006287;863.982544;1218.404785;451.747681;387.002533;451.113953;9607.140625;
1;9;2021;4:50:00.000;7758.687988;7817.771973;7844.536621;13520.821;3427.673096;2940.086914;3312.944092;889.299500;859.659485;1221.446411;457.951965;393.161713;451.622498;9680.704102;
1;9;2021;5:00:00.000;7759.375000;7823.949707;7849.341309;13527.529;3495.150635;2967.482178;3376.507813;920.136292;882.571777;1216.443970;467.349579;397.018280;458.783936;9839.140625;
1;9;2021;5:10:00.000;7734.834961;7799.817871;7835.880371;13491.635;3497.481689;2987.378174;3419.028076;923.187500;850.622986;1230.762207;469.183807;399.507080;465.264313;9903.887695;
